Order_ID,Order_Date,Ship_Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Returned,Sales_Rep
ORD-0046,2026-04-26,2026-04-30,CUST-017,South,Technology,USB-C Hub,6,55.0,0.1,297.0,217.57,79.43,No,R. Garcia
ORD-0047,2026-06-21,2026-06-27,CUST-003,East,Furniture,Office Chair,5,145.0,0.15,616.25,434.3,181.95,No,M. Lee
ORD-0048,2026-03-06,2026-03-10,CUST-015,North,Office Supplies,Printer Paper,1,8.5,0,8.5,6.41,-0.88,Yes,R. Garcia
ORD-0049,2026-04-15,2026-04-17,CUST-001,South,Office Supplies,Desk Organizer,7,18.0,0.1,113.4,82.67,30.73,No,A. Johnson
ORD-0050,2026-05-25,2026-05-27,CUST-015,North,Office Supplies,Desk Organizer,8,18.0,0,144.0,105.74,38.26,No,M. Lee
ORD-0051,2026-06-08,2026-06-15,CUST-018,West,Furniture,Bookshelf,6,110.0,0.1,594.0,449.28,144.72,No,R. Garcia
ORD-0052,2026-05-16,2026-05-20,CUST-009,South,Technology,Keyboard,4,42.0,0.05,159.6,90.62,68.98,No,R. Garcia
ORD-0053,2026-05-21,2026-05-22,CUST-005,South,Office Supplies,Ink Cartridge,6,32.0,0.05,182.4,116.39,66.01,No,M. Lee
ORD-0054,2026-04-17,2026-04-20,CUST-014,West,Furniture,Office Chair,2,145.0,0.1,261.0,155.97,105.03,No,A. Johnson
ORD-0055,2026-04-10,2026-04-14,CUST-012,North,Technology,USB-C Hub,1,55.0,0.15,46.75,33.81,12.94,No,S. Patel
ORD-0056,2026-02-28,2026-03-03,CUST-016,West,Furniture,Bookshelf,4,110.0,0.1,396.0,253.22,142.78,No,A. Johnson
ORD-0057,2026-06-11,2026-06-16,CUST-013,North,Furniture,Office Chair,8,145.0,0,1160.0,660.4,499.6,No,A. Johnson
ORD-0058,2026-03-10,2026-03-14,CUST-007,East,Office Supplies,Ink Cartridge,3,32.0,0,96.0,60.02,35.98,No,R. Garcia
ORD-0059,2026-05-03,2026-05-04,CUST-012,North,Technology,Keyboard,5,42.0,0,210.0,146.9,63.1,No,M. Lee
ORD-0060,2026-06-11,2026-06-13,CUST-005,South,Office Supplies,Printer Paper,4,8.5,0,34.0,23.94,-1.84,Yes,R. Garcia
